video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VCzx-Z6j3-Q&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Palestinians’ tents in Gaza offer no shelter from Israeli bombardment | Al Jazeera Newsfeed,27K,5 days,It's a tent. I came to find my family in pieces.” A Palestinian father recalls an Israeli attack on his family's tent in central Gaza that ...,2024-01-22 18:52:12.706995
/watch?v=aA-xnvaf25A&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Bombardment of Khan Younis: Mounting casualties across Gaza strip,40K,2 days,Israeli forces carried out air strikes and shelled targets overnight and into the morning in Khan Younis. The bombing has ...,2024-01-22 18:52:12.709919
/watch?v=yx6tkDOo9Dg&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Israeli reservist contradicts military’s narrative on Gaza,159K,10 days,The Israeli army is telling great stories in the media… But the situation on the ground was different.” An Israeli reservist says in a ...,2024-01-22 18:52:12.712604
/shorts/kWHrXWsvn28,/@ajplus,AJ+,Why Palestinians sing this song #gaza #palestine,586K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-22 18:52:12.715360
/watch?v=E4PtbgpBu9E&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Video shows aftermath of a summary execution of 15 men in a Gaza apartment | Al Jazeera Newsfeed,363K,3 days,A Palestinian family in Gaza says they witnessed the summary execution of 15 men when Israeli soldiers raided their apartment ...,2024-01-22 18:52:12.718267
/watch?v=N7xlICs55JU&pp=ygUEZ2F6YQ%3D%3D,/@globalnews,Global News,"Netanyahu rejects US, Canada push for Palestinian state after Gaza conflict",78K,3 days,Israeli Prime Minister Benjamin Netanyahu on Thursday told a press conference that he objected to any Palestinian statehood that ...,2024-01-22 18:52:12.721037
/shorts/dk-cxjzZkWM,/@UNPACKED,Unpacked,Is Israel Committing War Crimes in Gaza? #israel #gaza #war,2.4K,1 day,What constitutes a war crime? And is Israel committing them in Gaza? Is Israel intentionally targeting civilians?,2024-01-22 18:52:12.723893
/watch?v=jaU7_3Dxq1c&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Gaza health crisis: Patients with chronic illnesses unable to get medicine,1.7K,2 hours,Gaza is facing a severe shortage of medicines due to Israel's war. The Palestinian Health Ministry says 350000 patients with ...,2024-01-22 18:52:12.726679
/watch?v=A_HNvFhs_IE&pp=ygUEZ2F6YQ%3D%3D,/@SkyNewsAustralia,Sky News Australia,‘Permanent Israeli presence’ within Gaza an ‘obstacle’ to permanent resolution,1.5K,14 hours,Assistant Foreign Affairs Minister says there can't be an “ongoing presence from Israel” in Gaza post-conflict. Mr Watts says the ...,2024-01-22 18:52:12.729695
/watch?v=Iqe38FY3QR4&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,Gaza hostage families camp outside Israeli prime minister's house to demand action,1.7K,5 hours,Families of Israeli hostages camped out by Israeli Prime Minister Benjamin Netanyahu's house in Caesarea and said they plan to ...,2024-01-22 18:52:23.394250
